local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps
1.009979800088331,6942.637712139,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024389756051504063,0.824006426246001,-2.3128020415075263,-1.3097126001645287,-1.6060902357431477,-2.7611045837402344,-0.085940666621551,0.085940666621551,0.0680105569999796,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.010030800011009,6942.738113139,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024393012187492458,0.824006426246001,-2.3128020415075263,-1.3097093440285403,-1.6060902357431477,-2.7611050605773926,-0.08593659657053658,0.08593659657053658,0.026604247000250325,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0100582001032308,6942.838149336,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.02438977639516393,0.824006426246001,-2.3128020415075263,-1.3097125798208689,-1.6060902357431477,-2.761084794998169,-0.08594064119271942,0.08594064119271942,0.07304390799981775,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0100805000402033,6942.957258826,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024372307924443337,0.824006426246001,-2.3128020415075263,-1.3097300482915895,-1.6060902357431477,-2.7610793113708496,-0.08596247614361353,0.08596247614361353,0.0151248679994751,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0100996000692248,6943.057892029,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024351105395951755,0.824006426246001,-2.3128020415075263,-1.309751250820081,-1.6060902357431477,-2.761068820953369,-0.085988978532143,0.085988978532143,0.012207318000037048,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0101180000929162,6943.178228717,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024351105395951755,0.824006426246001,-2.3128020415075263,-1.309751250820081,-1.6060902357431477,-2.761068820953369,-0.085988978532143,0.085988978532143,0.13270117899992329,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.010136300115846,6943.298168396,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024324707484958408,0.824006426246001,-2.3128020415075263,-1.3097776487310744,-1.6060902357431477,-2.7610416412353516,-0.08602197496220476,0.08602197496220476,0.055421261000446975,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0101545000215992,6943.418489005,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024301750216079387,0.824006426246001,-2.3128020415075263,-1.3098006059999534,-1.6060902357431477,-2.761019706726074,-0.08605067071691162,0.08605067071691162,0.06567907899989223,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0101725000422448,6943.518582843,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024258038261490977,0.824006426246001,-2.3128020415075263,-1.3098443179545418,-1.6060902357431477,-2.7609641551971436,-0.08610530908312655,0.08610530908312655,0.05415584900038084,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.010190200060606,6943.638420493,odom,timeout,,0.9841474259836639,-0.020457470684426993,0.024258038261490977,0.824006426246001,-2.3128020415075263,-1.3098443179545418,-1.6060902357431477,-2.7609641551971436,-0.08610530908312655,0.08610530908312655,0.17424916300024051,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
