t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,event_type,event_message
11652.506239156,done,0.9768272309806781,0.001827749839294568,-0.059671261384616425,1.0852378058319159,-5.830408754278051,-2.4993231201486164,-2.4248813367684963,-2.6584577560424805,-0.021280835314645107,0.021280835314645107,0.08397984000112046,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
,navigating,0.9768272309806781,0.001827749839294568,-0.059671261384616425,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,going to waypoint 1/1
11652.624782074,navigating,0.9768272309806781,0.001827749839294568,-0.05967479783664009,1.0852378058319159,-5.830408754278051,-2.49932665660064,-2.4248813367684963,-2.6584575176239014,-0.021285253583444887,0.021285253583444887,0.09397513399926538,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
,turning,0.9768272309806781,0.001827749839294568,-0.05967479783664009,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,final alignment at waypoint 1/1
11652.744510905,turning,0.9768272309806781,0.001827749839294568,-0.059714727498224374,1.0852378058319159,-5.830408754278051,-2.4993665862622243,-2.4248813367684963,-2.6584248542785645,-0.021335139718829325,0.021335139718829325,0.015928453000014997,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11652.844842188,turning,0.9768272309806781,0.001827749839294568,-0.059714727498224374,1.0852378058319159,-5.830408754278051,-2.4993665862622243,-2.4248813367684963,-2.6584248542785645,-0.021335139718829325,0.021335139718829325,0.11599322500114795,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11652.966325621,turning,0.9768272309806781,0.001827749839294568,-0.059720997293274625,1.0852378058319159,-5.830408754278051,-2.4993728560572746,-2.4248813367684963,-2.658418655395508,-0.021342972886739902,0.021342972886739902,0.06288957700053288,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.084491159,turning,0.9768272309806781,0.001827749839294568,-0.05972755427262966,1.0852378058319159,-5.830408754278051,-2.4993794130366296,-2.4248813367684963,-2.6584150791168213,-0.02135116484760367,0.02135116484760367,0.06667531200037047,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.185755993,turning,0.9768272309806781,0.001827749839294568,-0.059739862404551314,1.0852378058319159,-5.830408754278051,-2.4993917211685512,-2.4248813367684963,-2.65840220451355,-0.021366542007765405,0.021366542007765405,0.014668986999822664,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.304997116,turning,0.9768272309806781,0.001827749839294568,-0.059722991884799015,1.0852378058319159,-5.830408754278051,-2.499374850648799,-2.4248813367684963,-2.658426284790039,-0.02134546482934677,0.02134546482934677,0.09544417199867894,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.40535227,turning,0.9768272309806781,0.001827749839294568,-0.05972215090938393,1.0852378058319159,-5.830408754278051,-2.499374009673384,-2.4248813367684963,-2.6584441661834717,-0.021344414156852894,0.021344414156852894,0.08890482400056499,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.505817829,turning,0.9768272309806781,0.001827749839294568,-0.059706589581181024,1.0852378058319159,-5.830408754278051,-2.499358448345181,-2.4248813367684963,-2.6584761142730713,-0.021324972611843282,0.021324972611843282,0.07555604300068808,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.625888541,turning,0.9768272309806781,0.001827749839294568,-0.059705598839971064,1.0852378058319159,-5.830408754278051,-2.499357457603971,-2.4248813367684963,-2.6584665775299072,-0.021323734829193586,0.021323734829193586,0.015383745998406084,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.745164164,turning,0.9768272309806781,0.001827749839294568,-0.05971093054749366,1.0852378058319159,-5.830408754278051,-2.4993627893114936,-2.4248813367684963,-2.6584763526916504,-0.021330395998424522,0.021330395998424522,0.09159316100158321,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11653.866666746,turning,0.976334514665338,0.0018173730940911903,-0.056873388763229116,1.0856073390330179,-5.8300826833386425,-2.496525247527229,-2.4106907253470924,-2.658492088317871,-0.021322560893362992,0.021322560893362992,0.05713665399889578,pixhawk_fused,0.8,0.2,gyro,-1.0,-0.012818962335586548,0.23588642477989197,odom,
11653.98481001,turning,0.9767383489464561,0.0018310127248593044,-0.04853742113897841,1.0853077821527772,-5.8303538545790685,-2.4881892799029783,-2.40052826186787,-2.6666131019592285,-0.013441606909027926,0.013441606909027926,0.07217744700028561,pixhawk_fused,0.8,0.2,gyro,-1.0,0.012861127033829689,0.16904740035533905,odom,
11654.105224806,turning,0.9773660793940376,0.0018661114834041537,-0.03110404125136146,1.084851116474882,-5.830785981755146,-2.4707559000153614,-2.3598942111965084,-2.6800127029418945,-0.0017814945578488017,0.0017814945578488017,0.0751455720001104,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010285817086696625,0.4731908440589905,odom,
11654.225495311,turning,0.9780791290345641,0.001946712635796155,0.0439892799194328,1.0843586828112863,-5.831307944802286,-2.395662578844567,-2.289627468821183,-2.748667001724243,0.07451182085276521,-0.07451182085276521,0.008842158000334166,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010241289623081684,0.6057544946670532,odom,
11654.344768547,turning,0.9800646427068599,0.002314074446883807,0.12423659774038098,1.083079769369093,-5.832870506689219,-2.315415261023619,-2.2159122260173985,-2.8300509452819824,0.15638407325745501,-0.15638407325745501,0.01512305000142078,pixhawk_fused,0.8,0.2,gyro,-1.0,0.020636219531297684,0.610270619392395,odom,
11654.445851628,turning,0.9815870180499436,0.0027037833247102183,0.13916096812540202,1.082168933454165,-5.8341510837586545,-2.300490890638598,-2.140808432362265,-2.8300509452819824,0.15638407325745501,-0.15638407325745501,0.11530674700043164,pixhawk_fused,0.8,0.2,gyro,-1.0,0.012809515930712223,0.7072197198867798,odom,
11654.545893791,turning,0.9830713290547353,0.0032133721363785672,0.20780201757977812,1.0813645696827172,-5.835498621824575,-2.231849841184222,-2.0617526970387137,-2.8970940113067627,0.2224546120166866,-0.2224546120166866,0.04268042200055788,pixhawk_fused,0.8,0.2,gyro,-1.0,0.015432839281857014,0.7437207698822021,odom,
11654.646364666,turning,0.9842214063755823,0.0037239970546261714,0.28609670346886684,1.0808160925764108,-5.836631136069483,-2.153555155295133,-1.9696048475941759,-2.9728150367736816,0.2973368478417484,-0.2973368478417484,0.02979161000075692,pixhawk_fused,0.8,0.2,gyro,-1.0,0.018102798610925674,0.9177019596099854,odom,
11654.765965134,turning,0.9853544081779049,0.004362897804792709,0.3925612391927613,1.0803634819899175,-5.83785057483778,-2.0470906195712386,-1.8486332786216841,-3.0741584300994873,0.40023672282696643,-0.40023672282696643,0.10516480800106365,pixhawk_fused,0.8,0.2,gyro,-1.0,0.009755851700901985,1.025851845741272,odom,
11654.866307864,turning,0.986043151860529,0.004865476073610098,0.47050899079322805,1.0801620791169477,-5.8386790612042345,-1.9691428679707719,-1.7465824520366755,3.1349544525146484,0.4722838046550838,-0.4722838046550838,0.05418532499970752,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010256090201437473,1.0110498666763306,odom,
11654.983648057,turning,0.9866027059190356,0.005383070212577334,0.6540855423305159,1.0800690199681053,-5.8394355956924775,-1.785566316433484,-1.6174167663190229,2.9370319843292236,0.6692185139656154,-0.6692185139656154,0.06336552900029346,pixhawk_fused,0.8,0.2,gyro,-1.0,0.007712048944085836,1.115044116973877,odom,
11655.085050815,turning,0.9871538597382405,0.006031953047239691,0.7609687319787728,1.0800671483874582,-5.840286956933508,-1.6786831267852271,-1.5031285067178926,2.8331356048583984,0.7742760405540553,-0.7742760405540553,0.05051353199996811,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010259666480123997,1.2134143114089966,odom,
11655.205131938,turning,0.987598949466228,0.006705164184000578,0.7864237249039026,1.0801619751402451,-5.841088409357283,-1.6532281338600974,-1.3732760908476984,2.8331356048583984,0.7742760405540553,-0.7742760405540553,0.17068726300021808,pixhawk_fused,0.8,0.2,gyro,-1.0,0.005132391583174467,1.0115303993225098,odom,
11655.306298981,turning,0.9878378788437041,0.007187231559688312,0.9761131852978493,1.080290802274788,-5.8416107883112325,-1.4635386734661506,-1.2718203833864639,2.6241495609283447,0.9854434142112818,-0.9854434142112818,0.07807496099849232,pixhawk_fused,0.8,0.2,gyro,-1.0,0.005134312901645899,1.079342246055603,odom,
11655.424175422,turning,0.987980022450516,0.0075659534071046974,1.0767488172043345,1.0804268038018114,-5.841991758949622,-1.3629030415596655,-1.1412967889975225,2.529165029525757,1.07875666707755,-1.07875666707755,0.020280823000575765,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.995589017868042,odom,
11655.524865811,turning,0.9880821369803328,0.008002489897835086,1.1792945375630783,1.080630702115644,-5.842391029487673,-1.2603573212009216,-1.0398105833034152,2.423945903778076,1.1815612086653795,-1.1815612086653795,0.013980060999529087,pixhawk_fused,0.8,0.2,gyro,-1.0,0.00512778852134943,0.9435994625091553,odom,
11655.644830586,turning,0.9880769242411495,0.00795896665978435,1.277592183308041,1.080606579520637,-5.842354429688352,-1.162059675455959,-0.9416202507568904,2.326704502105713,1.2798850724101152,-1.2798850724101152,0.015131013000427629,pixhawk_fused,0.8,0.2,gyro,-1.0,1.309871890953218e-06,0.6821057796478271,odom,
11655.745880984,turning,0.9880816805296462,0.00809438087744041,1.3694471829713983,1.0806903847429465,-5.842460901831832,-1.0702046757926016,-0.8747715388493067,2.2286105155944824,1.3778649907708254,-1.3778649907708254,0.03534190999926068,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0025672181509435177,0.5734004378318787,odom,
11655.865253367,turning,0.988089647897817,0.0075554984324445185,1.466796609188328,1.0803363440705345,-5.842054560878004,-0.9728552495756719,-0.8220066163414533,2.122617721557617,1.4862032296657648,-1.4862032296657648,0.045039213000563905,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0025658123195171356,0.3709770739078522,odom,
11655.966319116,turning,0.9881027155485012,0.007377233783231352,1.5009215017154303,1.0802112600972857,-5.8419268774871895,-0.9387303570485697,-0.7922519511397343,2.087999105453491,1.5214093687534418,-1.5214093687534418,0.03366636200007633,pixhawk_fused,0.8,0.2,gyro,-1.0,-0.005132648628205061,0.20239150524139404,odom,
11656.08452053,turning,0.9881346006918355,0.007064862887796286,1.5085540970449558,1.0799852147457956,-5.841708942318504,-0.9310977617190441,-0.7537082387208939,2.087999105453491,1.5214093687534418,-1.5214093687534418,0.15210673199908342,pixhawk_fused,0.8,0.2,gyro,-1.0,-0.007718219421803951,0.3043462038040161,odom,
11656.204451603,turning,0.9881980312565137,0.006529734678933252,1.54721302524763,1.0795912470195785,-5.841341280698049,-0.89243883351637,-0.7455905693475158,2.0314888954162598,1.5676093592941847,-1.5676093592941847,0.015194288998827687,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11656.30549504,turning,0.9881980312565137,0.006529734678933252,1.5490297387219312,1.0795912470195785,-5.841341280698049,-0.8906221200420688,-0.7455905693475158,2.0312318801879883,1.569875720262536,-1.569875720262536,0.07550888099831354,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11656.406073674,turning,0.9881980312565137,0.006529734678933252,1.5490297387219312,1.0795912470195785,-5.841341280698049,-0.8906221200420688,-0.7455905693475158,2.0312318801879883,1.569875720262536,-1.569875720262536,0.17574806199991144,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
,reached,0.9881980312565137,0.006529734678933252,1.5490297387219312,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,reached waypoint 1/1
11656.506184599,reached,0.9881980312565137,0.006529734678933252,1.548212495389775,1.0795912470195785,-5.841341280698049,-0.891439363374225,-0.7455905693475158,2.031306505203247,1.5688561903536404,-1.5688561903536404,0.09712263100118435,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11656.625281416,reached,0.9881980312565137,0.006529734678933252,1.5481704145388395,1.0795912470195785,-5.841341280698049,-0.8914814442251604,-0.7455905693475158,2.0312867164611816,1.5688036941373804,-1.5688036941373804,0.1096538790006889,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
,done,0.9881980312565137,0.006529734678933252,1.5481704145388395,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,mission complete
