t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,0.0,0.0,0.0,,,,,,mission_status,going to waypoint 1/1
1149.261332055,navigating,0.0,0.0,0.0,-0.309248685836792,-6.092678070068359,1.14918220220103,0.0,0.0,odom,
1149.379677843,navigating,0.0002059488539857256,-9.770691942289744e-08,-0.0027052043519486535,-0.3091643154621124,-6.092490196228027,1.1464769978490814,0.002585018752142787,-0.03397763893008232,odom,
1149.500218123,navigating,0.0002059488539857256,-9.770691942289744e-08,-0.0027052043519486535,-0.3091643154621124,-6.092490196228027,1.1464769978490814,0.0,0.0,odom,
1149.600667175,navigating,0.0019540648116463033,5.697953191323218e-06,0.01216173808500609,-0.3084542155265808,-6.090892791748047,1.1613439402860362,0.035840947180986404,0.2691974341869354,odom,
1149.719399068,navigating,0.00884231231407603,0.0002542506534771896,0.06899164611054442,-0.30586209893226624,-6.084506034851074,1.2181738483115745,0.07204753160476685,0.6087837815284729,odom,
1149.84028862,navigating,0.020688706033939977,0.0013319209964154453,0.10620779420828752,-0.30199745297431946,-6.073256015777588,1.2553899964093176,0.11894074827432632,0.06797236204147339,odom,
1149.940568612,navigating,0.03420339314750423,0.0027180356467015193,0.09269275289353884,-0.29773151874542236,-6.060357570648193,1.241874955094569,0.15248961746692657,-0.16990862786769867,odom,
1150.06174171,navigating,0.05116867560668955,0.004013583997719103,0.04877230094591667,-0.2919708490371704,-6.044347763061523,1.1979545031469467,0.14643386006355286,-0.5065092444419861,odom,
1150.179325457,navigating,0.07067602534810269,0.00449203387730766,-0.006028758529642575,-0.2844243347644806,-6.026352882385254,1.1431534436713875,0.17575478553771973,-0.33972519636154175,odom,
1150.279751787,navigating,0.09042643704454187,0.0040055858359365135,-0.047935596230905375,-0.27589794993400574,-6.008531093597412,1.1012466059701247,0.19903086125850677,-0.3057100474834442,odom,
1150.400617265,navigating,0.11588816126460999,0.00249188254252649,-0.0655123098101662,-0.2640970051288605,-5.9859185218811035,1.0836698923908639,0.22576896846294403,0.06744369119405746,odom,
1150.500644805,navigating,0.13766361665195773,0.0011537605623273967,-0.05062111080207532,-0.2539648115634918,-5.966597557067871,1.0985610913989547,0.22576898336410522,0.20233094692230225,odom,
1150.619431015,navigating,0.164802242399782,0.00011923563446303992,-0.02085880251645955,-0.24191483855247498,-5.942258834838867,1.1283233996845705,0.22600561380386353,0.20254309475421906,odom,
1150.740741711,navigating,0.1915767685630908,-0.00014194253312023453,0.002168625473101704,-0.23071949183940887,-5.917935848236084,1.1513508276741318,0.21925295889377594,0.1695220172405243,odom,
1150.840934369,navigating,0.21324065988966337,-1.3691900086307274e-05,0.012324283622267673,-0.22197091579437256,-5.898116588592529,1.1615064858232977,0.2146320343017578,0.16994799673557281,odom,
1150.941753009,navigating,0.2352277031792841,0.000274945019817438,0.01505517837712289,-0.21323643624782562,-5.877936840057373,1.164237380578153,0.22157227993011475,0.09394708275794983,odom,
1151.059561635,navigating,0.2612779399927006,0.000623082554330745,0.009714063462903821,-0.2028934508562088,-5.854025363922119,1.1588962656639339,0.220160111784935,-0.134523406624794,odom,
1151.159641178,navigating,0.2840806033281322,0.0008200281553003563,0.004980939766628056,-0.19374153017997742,-5.833138942718506,1.1541631419676581,0.2290540337562561,-0.1014842838048935,odom,
1151.260308406,navigating,0.3066611710608317,0.0008992665838383346,-0.002439132570398961,-0.18457309901714325,-5.812503337860107,1.146743069630631,0.22783468663692474,-0.168240025639534,odom,
1151.361253901,navigating,0.32908879105914063,0.0007613895857738473,-0.013304795926494029,-0.17526915669441223,-5.792096138000488,1.135877406274536,0.21922022104263306,-0.12528014183044434,odom,
1151.479393815,navigating,0.3532469629011642,0.0002851201049867691,-0.02881573290760886,-0.1649482548236847,-5.7702484130859375,1.1203664692934212,0.19906644523143768,-0.10194312781095505,odom,
1151.580280142,navigating,0.3717590728611774,-0.00031494061146603025,-0.03693111455467135,-0.1568249613046646,-5.753602981567383,1.1122510876463587,0.18342575430870056,-0.10187149792909622,odom,
1151.700727202,navigating,0.39087106573563346,-0.0010523522630332405,-0.03829487256345865,-0.14833085238933563,-5.736466407775879,1.1108873296375714,0.14590933918952942,0.10093899816274643,odom,
1151.800775468,navigating,0.4048100361019713,-0.0015723423419929383,-0.03357277600488073,-0.1421521008014679,-5.723960876464844,1.1156094261961493,0.13467639684677124,0.07375812530517578,odom,
1151.919469086,navigating,0.4184917997115326,-0.001973289065405115,-0.02276184072289067,-0.13618722558021545,-5.711641311645508,1.1264203614781394,0.10310796648263931,0.06772897392511368,odom,
1152.019564927,navigating,0.4270802215592085,-0.002148039583610345,-0.016693665255304913,-0.1325131058692932,-5.703876495361328,1.1324885369457252,0.07978492230176926,0.03385518491268158,odom,
1152.140817679,navigating,0.43614356196599935,-0.0022770659002590288,-0.012618603463615985,-0.1286863535642624,-5.695659637451172,1.136563598737414,0.07225348800420761,0.0,odom,
1152.241520187,navigating,0.44262474747786257,-0.002344380632105625,-0.008558325590279692,-0.12597261369228363,-5.6897735595703125,1.1406238766107504,0.06453300267457962,0.03390777111053467,odom,
,reached,0.44262474747786257,-0.002344380632105625,-0.008558325590279692,,,,,,mission_status,reached waypoint 1/1
1152.359545414,reached,0.4452989425635656,-0.002373605678873958,-0.02344526304911998,-0.12485157698392868,-5.687345504760742,1.12573693915191,0.005130089819431305,-0.06743019819259644,odom,
,done,0.4452989425635656,-0.002373605678873958,-0.02344526304911998,,,,,,mission_status,mission complete
