t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,0.0,0.0,0.005577855764946182,,,,,,,True,0.8,0.2,,,mission_status,going to waypoint 1/1
5849.053111474,navigating,0.0,0.0,0.005615621378777802,0.05849236049768554,-0.0009291106327308924,-0.8728516566768193,-0.8880179720888055,-2.892383098602295,0.10425476199998229,pixhawk_fused,0.8,0.2,0.0,0.0,odom,
5849.16414977,navigating,0.0,0.0,0.005709844684502752,0.05849236049768554,-0.0009291106327308924,-0.8727574333710943,-0.8880179720888055,-2.8922653198242188,0.10109493999971164,pixhawk_fused,0.8,0.2,0.0,0.0,odom,
5849.264225066,navigating,9.17213766899695e-05,-9.075884646665659e-07,0.005456279518349372,0.05855021053560426,-0.0010002935504255677,-0.8730109985372477,-0.8894002597216071,-2.8922367095947266,0.02329712600021594,pixhawk_fused,0.8,0.2,0.0025091334246098995,-0.03298019617795944,odom,
5849.385980013,navigating,0.0010319952146246605,-9.15713344784325e-06,0.007237784376500689,0.05914406697405929,-0.0017293460010780397,-0.8712294936790964,-0.8806252461896075,-2.8922035694122314,0.09517610900002182,pixhawk_fused,0.8,0.2,0.01538937445729971,0.1348385512828827,odom,
5849.504622988,navigating,0.003908959008579659,2.3479122937256807e-05,0.01258639949132545,0.06100564636208842,-0.003923088916513632,-0.8658808785642716,-0.8467726654592086,-2.893980026245117,0.06763653400048497,pixhawk_fused,0.8,0.2,0.04643262177705765,0.47468194365501404,odom,
5849.606199557,navigating,0.009961716670758406,0.0003581014460219195,-0.021180315684943274,0.065126892941205,-0.008368668074541305,-0.8996475937405404,-0.7960922073957057,-2.948802947998047,0.05408087500018155,pixhawk_fused,0.8,0.2,0.09286615252494812,0.4746667146682739,odom,
5849.723928683,navigating,0.022578318689302525,0.001720825192876899,-0.04630392672747852,0.0742294423922253,-0.01721057148932163,-0.9247712047830756,-0.7394590255538878,-2.994133472442627,0.06494826499965711,pixhawk_fused,0.8,0.2,0.14012457430362701,0.4517636001110077,odom,
5849.824765736,navigating,0.036689902479014595,0.004002192618889452,-0.03629234659504044,0.08499342257728028,-0.026616854759682958,-0.9147596246506375,-0.6885102335533594,-2.994133472442627,0.16570450400013215,pixhawk_fused,0.8,0.2,0.17774122953414917,0.5078785419464111,odom,
5849.944358523,navigating,0.054965149219042386,0.007885840939829778,-0.10500992829808475,0.0996485748927353,-0.038205378319673335,-0.9834772063536819,-0.6466617387292967,-3.0893852710723877,0.09470525899996574,pixhawk_fused,0.8,0.2,0.19272424280643463,0.30398139357566833,odom,
