t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps
10517.224135314,turning,0.0,0.0,0.0,-2.5594842433929443,-0.25892266631126404,-0.7080166314955144,0.0,0.0
10517.324270954,turning,0.0,0.0,0.0,-2.5594842433929443,-0.25892266631126404,-0.7080166314955144,0.0,0.0
10517.425462172,turning,0.0,0.0,0.0,-2.5594842433929443,-0.25892266631126404,-0.7080166314955144,0.0,0.0
10517.544359559,navigating,0.0,0.0,0.0,-2.5594842433929443,-0.25892266631126404,-0.7080166314955144,0.0,0.0
10517.644438547,navigating,0.00010265823288874553,-3.349199086312036e-08,-3.815445353438918e-06,-2.559406280517578,-0.25898945331573486,-0.7080204469408679,0.002560195280238986,0.033651355654001236
10517.766668555,navigating,0.005201520339926811,7.545990095540094e-05,0.035877197585166276,-2.555483818054199,-0.26224803924560547,-0.6721394339103481,0.07497308403253555,0.44175371527671814
10517.884550524,navigating,0.017303697386187363,0.0009523399931688527,0.11292643447291228,-2.545720100402832,-0.269452303647995,-0.5950901970226021,0.13136740028858185,0.575566828250885
10517.985151278,navigating,0.03230121299272511,0.002857137485353073,0.13999743514427054,-2.533088445663452,-0.2777586281299591,-0.5680191963512439,0.1587320864200592,0.2019081562757492
10518.10467919,navigating,0.051664875938990884,0.005568669422908946,0.13459776484907726,-2.516615390777588,-0.2882915437221527,-0.5734188666464372,0.15623408555984497,-0.10099420696496964
10518.205436522,navigating,0.06610984577077011,0.00743296739081329,0.11503027530534393,-2.504429817199707,-0.2962692975997925,-0.5929863561901705,0.13575762510299683,-0.3148951828479767
10518.324450608,navigating,0.08182586356532551,0.009005502589481913,0.0737895855715488,-2.4914684295654297,-0.30529528856277466,-0.6342270459239656,0.13890019059181213,-0.3380948007106781
10518.424962823,navigating,0.09547567372943369,0.00971480619774008,0.024261450567868104,-2.480638027191162,-0.3136333227157593,-0.6837551809276463,0.1340809315443039,-0.4569101631641388
10518.544317509,navigating,0.1176074329281217,0.009672434475592476,-0.031751659762509266,-2.463853120803833,-0.3280584216117859,-0.7397682912580237,0.21615339815616608,-0.4735221862792969
10518.644666626,navigating,0.14196180392630955,0.008450038565382484,-0.07100106518414895,-2.4461472034454346,-0.3448253571987152,-0.7790176966796634,0.25097402930259705,-0.20196841657161713
10518.765493559,navigating,0.1747009306667318,0.005662702843899123,-0.09674266115843988,-2.4230895042419434,-0.36823394894599915,-0.8047592926539543,0.2843377888202667,-0.06795188784599304
10518.868120703,navigating,0.20319901048198297,0.002888526198148944,-0.09070776685744686,-2.403244972229004,-0.38887447118759155,-0.7987243983529613,0.2882189452648163,0.20294822752475739
10518.986192149,navigating,0.23827469305516694,0.00011593829626567465,-0.05954745713843368,-2.3784027099609375,-0.41379138827323914,-0.7675640886339481,0.28984394669532776,0.22784094512462616
10519.104601436,navigating,0.2725655277793278,-0.001478468459367277,-0.03190042824706785,-2.3533904552459717,-0.4373028874397278,-0.7399170597425823,0.2903711795806885,0.16887861490249634
10519.209816952,navigating,0.3012231966205086,-0.002227654967707632,-0.018379218352833293,-2.3321077823638916,-0.45650890469551086,-0.7263958498483477,0.29502546787261963,0.031022561714053154
10519.325858279,navigating,0.33425070589507944,-0.002634153162527658,-0.0028458018864183643,-2.3072826862335205,-0.4782964289188385,-0.7108624333819328,0.2804286777973175,0.16908124089241028
10519.444397681,navigating,0.3677892248735102,-0.0024882349240207824,0.014078122887758893,-2.281710147857666,-0.4999966323375702,-0.6939385086077555,0.28260472416877747,0.10223593562841415
10519.544534529,navigating,0.39573290284103185,-0.0019528367209729613,0.02352716151617329,-2.26013445854187,-0.5177624821662903,-0.6844894699793411,0.2732272148132324,0.03365279361605644
10519.667748547,navigating,0.4287599379613506,-0.001270674850241904,0.011371567824227102,-2.2346017360687256,-0.5387226939201355,-0.6966450636712873,0.2655468285083771,-0.20136716961860657
10519.785581481,navigating,0.4613155586459812,-0.001220176061708128,-0.010992065526879369,-2.2098379135131836,-0.5598561763763428,-0.7190086970223938,0.2675808072090149,-0.1302628517150879
10519.886505395,navigating,0.4883450150138958,-0.0016731991826690606,-0.022419006461040558,-2.1895995140075684,-0.5777783393859863,-0.730435637956555,0.2740090489387512,-0.03365965932607651
10519.986819241,navigating,0.5163710999142278,-0.0023089692535493422,-0.02172088115370463,-2.1687228679656982,-0.5964874625205994,-0.729737512649219,0.2893020212650299,0.03365135192871094
10520.106785388,navigating,0.5507303689327039,-0.002945800932143805,-0.014930740638026685,-2.143035888671875,-0.619316041469574,-0.7229473721335411,0.282174676656723,0.0
10520.225122055,navigating,0.5847686390711362,-0.003535423199388321,-0.02174377336746902,-2.1175620555877686,-0.6419000029563904,-0.7297604048629834,0.27803364396095276,-0.13060563802719116
