t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,0.0,0.0,-0.00016380357513899949,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,going to waypoint 1/4
5577.759721049,navigating,0.0,0.0,-0.00016380357513899949,-6.066823452776091,-5.6331917754022305,0.019865200940367728,0.020029004515506727,-2.928100109100342,-0.2409342279955541,0.2409342279955541,0.11042668400023103,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
5577.859818796,navigating,0.0,0.0,-0.0001584365771463668,-6.066823452776091,-5.6331917754022305,0.01987056793836036,0.020029004515506727,-2.928147077560425,-0.24092751924807965,0.24092751924807965,0.03214563000074122,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
5577.978321427,navigating,0.00014825443199956636,-2.242501872601047e-07,0.0002639612736656527,-6.066675223588839,-5.633189030417281,0.02029296578917238,0.022073681401996895,-2.928220272064209,-0.2409106909357739,0.2409106909357739,0.10603258999981335,pixhawk_fused,0.8,0.2,gyro,-1.0,0.00516873924061656,0.06793820858001709,odom,
5578.095733776,navigating,0.0017271563212072568,1.0703489605781985e-05,0.0027044981336891705,-6.065096857243108,-5.63314648315057,0.022733502649195898,0.03421967849360278,-2.928269147872925,-0.24089646015919572,0.24089646015919572,0.06775823299994954,pixhawk_fused,0.8,0.2,gyro,-1.0,0.01793028600513935,0.23567673563957214,odom,
5578.215139289,navigating,0.006859935334384478,0.00021630045560689265,0.035405753924631425,-6.059969225358193,-5.632838129841288,0.05543475844013815,0.09510224858965868,-2.9574787616729736,-0.2152381540522707,0.2152381540522707,0.08489432300029875,pixhawk_fused,0.8,0.2,gyro,-1.0,0.06204668805003166,0.6116589903831482,odom,
5578.3171887,navigating,0.016008588648838376,0.0011564191930326182,0.0903277110595875,-6.05084123540746,-5.631714973499616,0.11035671557509423,0.1528720253378249,-3.0134356021881104,-0.16102758812762624,0.16102758812762624,0.07121129799998016,pixhawk_fused,0.8,0.2,gyro,-1.0,0.11874550580978394,0.4994553029537201,odom,
5578.417518939,navigating,0.028997780627296577,0.0030327081245768283,0.09414487843561298,-6.037892226407583,-5.629578917711726,0.1141738829511197,0.17197602821085575,-3.0134356021881104,-0.16102758812762624,0.16102758812762624,0.17090218599969376,pixhawk_fused,0.8,0.2,gyro,-1.0,0.15766240656375885,0.03397257253527641,odom,
5578.517609482,navigating,0.044622570247664764,0.005382886851034696,0.13538918458016,-6.0223176393038935,-5.626916282311101,0.15541818909566674,0.15976899707014916,-3.0776753425598145,-0.10642798772312528,0.10642798772312528,0.08210086700000829,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1808967888355255,-0.2717391848564148,odom,
5578.618078791,navigating,0.059315498504454126,0.007242893058748318,0.12027408355550613,-6.00766490964561,-5.624762384121042,0.14030308807101285,0.12192720188247004,-3.060978412628174,-0.11586166080690748,0.11586166080690748,0.06404915599978267,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1524975597858429,-0.3058106601238251,odom,
5578.737049909,navigating,0.0743829998165435,0.008339458460429362,0.07636748651135607,-5.992622392124553,-5.6233642717869685,0.09639649102686279,0.049783644286432324,-3.0236124992370605,-0.1527127313301695,0.1527127313301695,0.01604471399969043,pixhawk_fused,0.8,0.2,gyro,-1.0,0.13245409727096558,-0.6014309525489807,odom,
5578.840979284,navigating,0.08938090547551125,0.008383132297642752,0.01887695477723159,-5.977628369337598,-5.623020233673349,0.03890595929273832,-0.011953417345818756,-2.9651546478271484,-0.20914281323410397,0.20914281323410397,0.004401389000122435,pixhawk_fused,0.8,0.2,gyro,-1.0,0.18472927808761597,-0.6070231795310974,odom,
5578.960325057,navigating,0.11216523265378348,0.00694611006322112,-0.05307887484852403,-5.954819831898053,-5.624000650797668,-0.0330498703330173,-0.08077055532323651,-2.8944091796875,-0.28188242193914775,0.28188242193914775,0.07448890500018024,pixhawk_fused,0.8,0.2,gyro,-1.0,0.21732282638549805,-0.4443451166152954,odom,
