local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps
1.1053793000755832,6814.282362885,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.8872640132904053,0.004061678573489187,-0.004061678573489187,0.008978559999377467,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.1054298999952152,6814.397627682,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.8872640132904053,0.004061678573489187,-0.004061678573489187,0.1252073779996863,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.105490199988708,6814.4981547,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887256622314453,0.004047503097914157,-0.004047503097914157,0.047607086000425625,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.105506099993363,6814.598964755,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.8872315883636475,0.004036852599121628,-0.004036852599121628,0.0333337339998252,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.105517000076361,6814.718199062,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.8872389793395996,0.004026623278856275,-0.004026623278856275,0.005610921999505081,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.1055277000414208,6814.819508582,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887230634689331,0.003995941489934918,-0.003995941489934918,0.05607895899993309,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.105537600000389,6814.919587321,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887223720550537,0.003985082119703291,-0.003985082119703291,0.05422428800011403,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.1055468000704423,6815.038171164,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887230157852173,0.003980924975126979,-0.003980924975126979,0.05669229399973119,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.105556400027126,6815.138388736,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887230157852173,0.003980924975126979,-0.003980924975126979,0.1565896989995963,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
1.1055654999800026,6815.23971046,odom,timeout,,0.0,0.0,0.0,0.07692693598240263,0.0,-1.159263143296377,-1.159263143296377,-2.887190818786621,0.003943153100088236,-0.003943153100088236,0.03719896599977801,encoder,True,0.0,1.0,gyro,-1.0,0.0,0.0
