t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,linear_x_mps,angular_z_radps,event_type,event_message
5935.606446587,done,0.0,-0.0,0.0,0.10306187659644997,0.7952921680628448,3.0610085925716333,2.677966687691387,-2.8769829273223877,0.05318808399988484,pixhawk_fused,0.0,1.0,0.0,0.0,odom,
,navigating,0.0,-0.0,0.0,,,,,,,True,0.0,1.0,,,mission_status,going to waypoint 1/1
5935.706814046,navigating,4.155765284113931e-05,-1.6724527550210498e-05,-0.0006751834979312754,0.1030218000761349,0.7953121835780986,3.060333409073702,2.6772915041934557,-2.8769829273223877,0.1536085979996642,pixhawk_fused,0.0,1.0,0.0,0.0,odom,
5935.825881833,navigating,8.334809385950642e-05,-3.358672820219918e-05,-0.0013541683553697226,0.10298150260532678,0.7953323550584064,3.0596544242162635,2.6766125193360173,-2.876906633377075,0.01583309299985558,pixhawk_fused,0.0,1.0,0.0025835910346359015,-0.03395887091755867,odom,
5935.927658585,navigating,0.0005009464628020298,-0.0002028593416105653,0.00135235826320379,0.10257888531716068,0.7955346937216997,3.062360950834837,2.679319045954591,-2.8768787384033203,0.07409509300032369,pixhawk_fused,0.0,1.0,0.00256555643863976,0.03372182324528694,odom,
5936.046477466,navigating,0.0025810019135179838,-0.0010124663371135594,0.029609703445586444,0.10057075076679242,0.7965091113902781,3.0906182960172197,2.7075763911369735,-2.8777973651885986,0.012698582000666647,pixhawk_fused,0.0,1.0,0.04097751900553703,0.4712814390659332,odom,
5936.148520236,navigating,0.007751044671673574,-0.002772362870681372,0.0887432282136551,0.09555915168316355,0.7986794690923612,-3.1334334863942983,2.7667099159050417,-2.9542059898376465,0.00980294100008905,pixhawk_fused,0.0,1.0,0.0749487355351448,0.5910782814025879,odom,
5936.248767659,navigating,0.015830305688250296,-0.005049948312356999,0.12870315178141567,0.08768944749653314,0.8016000187038284,-3.0934735628265377,2.8066698394728022,-2.9542059898376465,0.11057117800010019,pixhawk_fused,0.0,1.0,0.10491487383842468,0.3283035159111023,odom,
5936.3658781,navigating,0.02873929770761652,-0.008316015394490645,0.13951019615984883,0.0750852551358369,0.8058946204403837,-3.082666518448104,2.817476883851236,-3.0001060962677,0.031561429999783286,pixhawk_fused,0.0,1.0,0.15073099732398987,0.034758176654577255,odom,
5936.465895857,navigating,0.043250895018855935,-0.01188624397214489,0.14694026920625713,0.060908142209209,0.8106214013413681,-3.075236445401696,2.824906956897644,-3.009950876235962,0.01075955000032991,pixhawk_fused,0.0,1.0,0.169276624917984,0.0695306807756424,odom,
5936.567550815,navigating,0.06015188289101995,-0.015846056229361687,0.16373540913143803,0.04438075289370657,0.8159288401381188,-3.058441305476515,2.841702096822825,-3.009950876235962,0.11167137899974477,pixhawk_fused,0.0,1.0,0.21420767903327942,0.3128397464752197,odom,
5936.688845635,navigating,0.08123713979948854,-0.02021197963044166,0.20422840570483913,0.023715363752878343,0.821977892766288,-3.0179483089031134,2.8821950933962266,-3.020331621170044,0.0634021349997056,pixhawk_fused,0.0,1.0,0.21576493978500366,0.4051467478275299,odom,
5936.806270113,navigating,0.10331479088387059,-0.023619528485523386,0.2677975012035141,0.0019836547385252983,0.8271515655351216,-2.9543792134044384,2.9457641888949015,-3.0432002544403076,0.07285552200028178,pixhawk_fused,0.0,1.0,0.2186719924211502,0.5748474597930908,odom,
5936.908895512,navigating,0.12176873991239506,-0.0253319971872652,0.3252973813880127,-0.016272560288383094,0.8303439622355818,-2.8968793332199403,3.0032640690793997,-3.1379356384277344,0.047004523999930825,pixhawk_fused,0.0,1.0,0.21356520056724548,0.5750181674957275,odom,
