local_t,bridge_t,event_type,mission_state,mission_index,mission_total,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,cmd_linear_x_mps,cmd_angular_z_radps,cmd_age_s,actual_left_mps,actual_right_mps,cmd_left_mps,cmd_right_mps,turn_abs_balance_error_mps,turn_linear_leak_ratio,nearest_segment,along_track_m,segment_progress_m,segment_ratio,nearest_path_x_m,nearest_path_y_m,nearest_path_yaw_rad,cross_track_error_m,signed_cross_track_error_m,heading_error_rad,distance_to_waypoint_m,turn_kind,turn_target_yaw_rad,turn_yaw_error_rad
1.0483686999650672,1440.104441321,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13981898532379378,0.18689587445847602,0.04686380558226028,-0.6671043304028923,-0.6604538628961567,-3.067444324493408,-0.03526313170418153,0.03526313170418153,0.00277369000014005,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,18.946965612999975,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13981898532379378,,,,
1.0484861999284476,1440.224145342,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13981898532379378,0.18689587445847602,0.04686380558226028,-0.6671043304028923,-0.6604538628961567,-3.067444324493408,-0.03526313170418153,0.03526313170418153,0.12263128400013557,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.066819742999996,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13981898532379378,,,,
1.0485696999821812,1440.32583322,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13979979299586065,0.18689587445847602,0.04686380558226028,-0.6670851380749592,-0.6604538628961567,-3.0674664974212646,-0.03523914139345298,0.03523914139345298,0.04624179699999331,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.168165920999854,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13979979299586065,,,,
1.0486410999437794,1440.443858334,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13980025308601052,0.18689587445847602,0.04686380558226028,-0.667085598165109,-0.6604538628961567,-3.0674524307250977,-0.03523971650376926,0.03523971650376926,0.11459617200011962,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.286552105000055,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13980025308601052,,,,
1.0487088999943808,1440.544976829,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13980346147645772,0.18689587445847602,0.04686380558226028,-0.6670888065555562,-0.6604538628961567,-3.067441701889038,-0.03524372697528462,0.03524372697528462,0.0694533070000034,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.387203994999936,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13980346147645772,,,,
1.0487732000183314,1440.666435163,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13975046572673022,0.18689587445847602,0.04686380558226028,-0.6670358108058287,-0.6604538628961567,-3.0674941539764404,-0.03517748255934577,0.03517748255934577,0.07667124199997488,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.50863812500006,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13975046572673022,,,,
1.048835999914445,1440.784358115,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.1397235781080015,0.18689587445847602,0.04686380558226028,-0.6670089231871,-0.6604538628961567,-3.067516326904297,-0.035143873171880946,0.035143873171880946,0.08627326199984964,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.62634041199999,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.1397235781080015,,,,
1.048895699903369,1440.884418094,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.1397235781080015,0.18689587445847602,0.04686380558226028,-0.6670089231871,-0.6604538628961567,-3.067516326904297,-0.035143873171880946,0.035143873171880946,0.1866854599998078,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.726765128999887,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.1397235781080015,,,,
1.0489529999904335,1440.984999309,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13971226510092938,0.18689587445847602,0.04686380558226028,-0.6669976101800279,-0.6604538628961567,-3.0675132274627686,-0.035129731969907985,0.035129731969907985,0.09584360200005904,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.826392743000042,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13971226510092938,,,,
1.04901149997022,1441.086532364,odom,idle,,2,,0.43499648466557017,0.08098864255072691,-0.13967460059674897,0.18689587445847602,0.04686380558226028,-0.6669599456758475,-0.6604538628961567,-3.067549467086792,-0.0350826515275986,0.0350826515275986,0.08972135800013348,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,19.928359959999852,0.0,0.0,0.0,0.0,,,1,0.35,0.35,1.0,0.35,0.0,0.0,0.11740341829654673,0.08098864255072691,0.13967460059674897,,,,
