t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,-0.037547552470585915,0.06276710601677968,-0.09544215488869989,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,going to waypoint 1/3
7968.047586703,navigating,-0.037547552470585915,0.06276710601677968,-0.09544215488869989,1.4870949723135163,-3.265387929790778,1.612651058418771,1.5423831589586048,0.5388239026069641,2.779892671335971,-2.779892671335971,0.1260206120005023,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.147950949,navigating,-0.03705904548518095,0.06268659529721328,-0.09391139720208597,1.4871078654246408,-3.2648930006863197,1.614181816105385,1.549846536252503,0.5387746691703796,2.7799470575195904,-2.7799470575195904,0.030247564000092098,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010341634042561054,0.13593104481697083,odom,
7968.269340682,navigating,-0.03705904548518095,0.06268659529721328,-0.09359577833549504,1.4871078654246408,-3.2648930006863197,1.6144974349719758,1.549846536252503,0.5384595394134521,2.780341240546217,-2.780341240546217,0.034140737000598165,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.389499899,navigating,-0.03705904548518095,0.06268659529721328,-0.09359577833549504,1.4871078654246408,-3.2648930006863197,1.6144974349719758,1.549846536252503,0.5384595394134521,2.780341240546217,-2.780341240546217,0.15429317699999956,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.509859039,navigating,-0.03705904548518095,0.06268659529721328,-0.09355657674345474,1.4871078654246408,-3.2648930006863197,1.6145366365640161,1.549846536252503,0.538352370262146,2.7803902000808325,-2.7803902000808325,0.09613580300083413,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.628161159,navigating,-0.03705904548518095,0.06268659529721328,-0.0934969064740836,1.4871078654246408,-3.2648930006863197,1.6145963068333873,1.549846536252503,0.5382897257804871,2.780464723228028,-2.780464723228028,0.0316176890000861,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.728809402,navigating,-0.03705904548518095,0.06268659529721328,-0.09348508618029339,1.4871078654246408,-3.2648930006863197,1.6146081271271775,1.549846536252503,0.5382793545722961,2.7804794857711697,-2.7804794857711697,0.01137059800021234,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.847943174,navigating,-0.036880106404024116,0.06265830318273331,-0.09165043336210577,1.4871114006325297,-3.26471187327036,1.6164427799453651,1.55257784513012,0.536138117313385,2.7820909384624266,-2.7820909384624266,0.025269761999879847,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
7968.94837805,navigating,-0.036835313019181026,0.06265127453779748,-0.0905310029793811,1.4871122324461508,-3.2646665394280188,1.6175622103280898,1.5532626222397603,0.5354148149490356,2.783318567172175,-2.783318567172175,0.015573006000522582,pixhawk_fused,0.8,0.2,gyro,-1.0,0.002603328786790371,0.034218307584524155,odom,
7969.068575563,navigating,-0.035321206502573955,0.06242864082841711,-0.08593204222778428,1.4871255414640856,-3.263136210318897,1.6221611710796866,1.576322473848198,0.5354148149490356,2.783318567172175,-2.783318567172175,0.1355429120003464,pixhawk_fused,0.8,0.2,gyro,-1.0,0.031424380838871,0.41304391622543335,odom,
