local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,nearest_path_error_m
1.1121544999768957,9560.173857332,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06811071609182529,1.1514112827718597,-3.033287599000461,0.6401342597568604,0.4081495507127742,0.8084561824798584,-0.010623202046830508,0.010623202046830508,0.11593463499957579,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.1122593999607489,9560.294519601,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06814382745667857,1.1514112827718597,-3.033287599000461,0.6401011483920072,0.4081495507127742,0.8084878325462341,-0.010664382895905825,0.010664382895905825,0.062308692999067716,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.11231269990094,9560.394893121,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06818976780884956,1.1514112827718597,-3.033287599000461,0.6400552080398362,0.4081495507127742,0.808519184589386,-0.01072151934959397,0.01072151934959397,0.05467856399991433,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.1123579998966306,9560.513932952,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06822699869252546,1.1514112827718597,-3.033287599000461,0.6400179771561603,0.4081495507127742,0.8085523247718811,-0.010767823838148569,0.010767823838148569,0.047775899000043864,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.1123983999714255,9560.633465344,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06822699869252546,1.1514112827718597,-3.033287599000461,0.6400179771561603,0.4081495507127742,0.8085523247718811,-0.010767823838148569,0.010767823838148569,0.1675372290010273,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.112436099909246,9560.735070645,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.0682704075203775,1.1514112827718597,-3.033287599000461,0.6399745683283082,0.4081495507127742,0.8085817098617554,-0.010821812003370677,0.010821812003370677,0.0912572649995127,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.112473199958913,9560.85405733,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.06835476137658736,1.1514112827718597,-3.033287599000461,0.6398902144720984,0.4081495507127742,0.8086291551589966,-0.010926724363569474,0.010926724363569474,0.10185525699853315,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.1125113999005407,9560.973501299,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.0684243276384291,1.1514112827718597,-3.033287599000461,0.6398206482102566,0.4081495507127742,0.8086618781089783,-0.011013245424706792,0.011013245424706792,0.025724548000653158,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.1125528999837115,9561.073868781,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.0684703701818733,1.1514112827718597,-3.033287599000461,0.6397746056668124,0.4081495507127742,0.8086938858032227,-0.011070509673547302,0.011070509673547302,0.012067101000866387,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.112591699929908,9561.194323243,odom,idle,,0.0030235488393337666,-0.04321379326797127,-0.0684703701818733,1.1514112827718597,-3.033287599000461,0.6397746056668124,0.4081495507127742,0.8086938858032227,-0.011070509673547302,0.011070509673547302,0.13231475300017337,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0280204942787355
1.992190699907951,9561.313557387,odom,idle,,0.0,0.0,-6.428629160759591e-05,1.1514112827718597,-3.033287599000461,0.6397103193752048,0.4081495507127742,0.808752179145813,-0.011150867538046394,0.011150867538046394,0.07405024899890122,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.992266699904576,9561.433674527,odom,idle,,0.0,0.0,-0.00016328188492553686,1.1514112827718597,-3.033287599000461,0.6396113237818869,0.4081495507127742,0.8088125586509705,-0.011274612029534135,0.011274612029534135,0.0027465189996291883,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.9923083999892697,9561.534541128,odom,idle,,0.0,0.0,-0.00016328188492553686,1.1514112827718597,-3.033287599000461,0.6396113237818869,0.4081495507127742,0.8088125586509705,-0.011274612029534135,0.011274612029534135,0.10313646599934145,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.9923440999118611,9561.65379279,odom,idle,,0.0,0.0,-0.00016782325222952643,1.1514112827718597,-3.033287599000461,0.6396067824145829,0.4081495507127742,0.8088091611862183,-0.011280288738649641,0.011280288738649641,0.1138512149991584,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.9923767999280244,9561.755065196,odom,idle,,0.0,0.0,-0.00025758641117579195,1.1514112827718597,-3.033287599000461,0.6395170192556366,0.4081495507127742,0.8088763952255249,-0.011392492686849389,0.011392492686849389,0.09846940699935658,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.992409099941142,9561.87364658,odom,idle,,0.0,0.0,-0.00030022114301841984,1.1514112827718597,-3.033287599000461,0.639474384523794,0.4081495507127742,0.8089084029197693,-0.011445786101263318,0.011445786101263318,0.04259116899993387,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.9924484000075608,9561.973897661,odom,idle,,0.0,0.0,-0.0004195395075509145,1.1514112827718597,-3.033287599000461,0.6393550661592615,0.4081495507127742,0.8090072274208069,-0.01159493405510143,0.01159493405510143,0.015698781999162748,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
