t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,0.0,-0.0,0.0,,,,,,,True,0.0,1.0,,,mission_status,going to waypoint 1/1
5923.106767649,navigating,0.0,-0.0,0.0,0.5069997078770381,0.5066706216132543,2.5614997655489944,2.178457860668748,-2.95995831489563,0.07565305899970554,pixhawk_fused,0.0,1.0,0.0,0.0,odom,
5923.226765602,navigating,0.0,-0.0,0.0,0.5069997078770381,0.5066706216132543,2.5614997655489944,2.178457860668748,-2.959918260574341,0.09190598400073213,pixhawk_fused,0.0,1.0,0.0,0.0,odom,
5923.328524118,navigating,0.00012599919274035713,-5.075807560645829e-05,0.0020465966217888543,0.5069221412568856,0.5067821366268113,2.5635463621707832,2.180504457290537,-2.9598474502563477,0.07656509400021605,pixhawk_fused,0.0,1.0,0.005159151274710894,0.06781218945980072,odom,
5923.445409931,navigating,0.0015750870218054537,-0.0006221985725022888,0.012149739820126904,0.50602331465111,0.5080543435716858,2.5736495053691213,2.190607600488875,-2.9703619480133057,0.0015995149997252156,pixhawk_fused,0.0,1.0,0.03979694843292236,0.10461867600679398,odom,
5923.546844206,navigating,0.005600115363890603,-0.0020964256076809245,0.05900860067386793,0.5034647599298051,0.5114935289758082,2.6205083662228623,2.237466461342616,-2.9703619480133057,0.1027223649998632,pixhawk_fused,0.0,1.0,0.06783861666917801,0.5614380836486816,odom,
5923.649685368,navigating,0.012367524734192236,-0.0042149464988755995,0.10636045800275706,0.4989655840308501,0.5169747128426327,2.6678602235517515,2.284818318671505,-3.011801242828369,0.09531043900005898,pixhawk_fused,0.0,1.0,0.09237384796142578,0.4721762239933014,odom,
5923.750140331,navigating,0.02263794085196571,-0.00698309999160987,0.13417249283612298,0.4918925168469542,0.5249192607595159,2.6956722583851174,2.312630353504871,-3.011801242828369,0.1958131430001231,pixhawk_fused,0.0,1.0,0.13856768608093262,0.202371284365654,odom,
5923.870404691,navigating,0.03874514252412284,-0.010950254821057097,0.14975165433247017,0.48059466828231046,0.5370658191592736,2.7112514198814646,2.3282095150012183,-3.1025819778442383,0.011146862000714464,pixhawk_fused,0.0,1.0,0.1766669750213623,0.16832706332206726,odom,
5923.991626475,navigating,0.05745455265919042,-0.01526290572091385,0.171271358613581,0.46730966896559545,0.5509276292337584,2.7327711241625754,2.349729219282329,-3.1025819778442383,0.132759182000882,pixhawk_fused,0.0,1.0,0.20072390139102936,0.33824700117111206,odom,
