t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps
11273.191384783,idle,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.311810707,turning,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.431426709,turning,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.53174284,turning,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.650992935,turning,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.751511935,navigating,-0.0,0.0,0.0,-2.560405731201172,-0.2575909495353699,-2.3881612215503125,0.0,0.0
11273.871386452,navigating,0.0009266369054832798,3.719170062163146e-06,0.012180266855487787,-2.5610790252685547,-0.2582276165485382,-2.3759809546948247,0.020585007965564728,0.2705705463886261
11273.992934241,navigating,0.006243477806908673,0.00022073578455517398,0.08076473166483655,-2.5648083686828613,-0.262023389339447,-2.307396489885476,0.06396368891000748,0.7784515619277954
11274.111514782,navigating,0.01745093831871243,0.0015727797374422998,0.1480940991148776,-2.5720574855804443,-0.27067703008651733,-2.240067122435435,0.11526281386613846,0.23563319444656372
11274.231980982,navigating,0.032371253341731104,0.0038092877882731167,0.14063832954307998,-2.581409454345703,-0.28251588344573975,-2.2475228920072325,0.12310988456010818,-0.1348469853401184
11274.350940688,navigating,0.046348640957192905,0.005560519805471009,0.09873770373435331,-2.5904057025909424,-0.29335570335388184,-2.289423517815959,0.12609334290027618,-0.37210381031036377
11274.451558613,navigating,0.05890551956009267,0.006578012655936487,0.057445405785564674,-2.598867893218994,-0.3026885390281677,-2.330715815764748,0.1468001902103424,-0.4560755491256714
11274.571359797,navigating,0.07958656184203569,0.007346893743027258,0.01275061720640469,-2.6134254932403564,-0.31739816069602966,-2.375410604343908,0.19648534059524536,-0.40771809220314026
11274.671886574,navigating,0.10343546265749651,0.007390490600145537,-0.010223446324466146,-2.6307897567749023,-0.333746075630188,-2.3983846678747787,0.26295432448387146,-0.16778093576431274
11274.771970407,navigating,0.1299548612369913,0.006995794371298984,-0.021732384896163914,-2.6504015922546387,-0.35160133242607117,-2.4098936064464764,0.2662971019744873,-0.10194830596446991
11274.891571831,navigating,0.16364236825742695,0.006120159332085845,-0.03183557692397132,-2.675570487976074,-0.3740098476409912,-2.419996798474284,0.28416648507118225,-0.06791095435619354
