local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,nearest_path_error_m
1.017058299970813,8921.486862299,odom,idle,,0.04663355664609416,0.02123982410132605,0.18632716120103732,1.4551632070562177,-3.2196995268936925,1.864216463839723,1.113154012104921,0.34746265411376953,-3.0859406581404296,3.0859406581404296,0.1531746969994856,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.017190800048411,8921.606867967,odom,idle,,0.04663355664609416,0.02123982410132605,0.18635041528700014,1.4551632070562177,-3.2196995268936925,1.8642397179256858,1.113154012104921,0.3474390208721161,-3.085912200498828,3.085912200498828,0.08254319499974372,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0172401000745595,8921.729435965,odom,idle,,0.04663355664609416,0.02123982410132605,0.18635914522621855,1.4551632070562177,-3.2196995268936925,1.8642484478649042,1.113154012104921,0.34742075204849243,-3.0859015170805764,3.0859015170805764,0.09726373400008015,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0172853000694886,8921.846872692,odom,idle,,0.04663355664609416,0.02123982410132605,0.18635413223781128,1.4551632070562177,-3.2196995268936925,1.864243434876497,1.113154012104921,0.3474235534667969,-3.0859076518132027,3.0859076518132027,0.09434300099928805,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0173284000484273,8921.947285677,odom,idle,,0.04663355664609416,0.02123982410132605,0.18635444197653817,1.4551632070562177,-3.2196995268936925,1.8642437446152238,1.113154012104921,0.347429096698761,-3.085907272764915,3.085907272764915,0.023315595000894973,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0173694000113755,8922.066382093,odom,idle,,0.04663355664609416,0.02123982410132605,0.18637252377648372,1.4551632070562177,-3.2196995268936925,1.8642618264151694,1.113154012104921,0.34740498661994934,-3.085885144858123,3.085885144858123,0.09307795600034297,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0174097999697551,8922.167847088,odom,idle,,0.04663355664609416,0.02123982410132605,0.1863777433479843,1.4551632070562177,-3.2196995268936925,1.86426704598667,1.113154012104921,0.3474087417125702,-3.0858787573263657,3.0858787573263657,0.047700866000013775,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0174530000658706,8922.28544411,odom,idle,,0.04663355664609416,0.02123982410132605,0.18637450243044484,1.4551632070562177,-3.2196995268936925,1.8642638050691305,1.113154012104921,0.347398966550827,-3.0858827234492314,3.0858827234492314,0.05441382699973474,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.0174943000311032,8922.386214056,odom,idle,,0.04663355664609416,0.02123982410132605,0.18639252783309201,1.4551632070562177,-3.2196995268936925,1.8642818304717776,1.113154012104921,0.3473789095878601,-3.085860664599077,3.085860664599077,0.04436045100010233,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
1.017568500014022,8922.506635831,odom,idle,,0.04663355664609416,0.02123982410132605,0.18639252783309201,1.4551632070562177,-3.2196995268936925,1.8642818304717776,1.113154012104921,0.3473789095878601,-3.085860664599077,3.085860664599077,0.1643582119995699,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.017276571393537516
