t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,-0.0,0.0,-0.00551210541013436,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,going to waypoint 1/1
11570.344860754,navigating,-0.0,0.0,-0.005567381880358546,1.8299535742192825,-5.1982749043933385,-2.4452192406443585,-2.439651858764,-2.716083526611328,0.05002553900192429,-0.05002553900192429,0.007161691999499453,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
11570.465145886,navigating,0.0004488192439045874,6.547689236628305e-07,-0.004484024616792759,1.8296112829142661,-5.1985652073470465,-2.4441358833807927,-2.4342349477575715,-2.716083526611328,0.05002553900192429,-0.05002553900192429,0.12828654199984157,pixhawk_fused,0.8,0.2,gyro,-1.0,0.010294048115611076,0.13530556857585907,odom,
11570.583984614,navigating,0.0032334010715097928,5.8880023311452465e-05,0.003349012684477959,1.827522598912089,-5.200407674517426,-2.436302846079522,-2.394958877223289,-2.7160890102386475,0.05000054053450872,-0.05000054053450872,0.0689632489993528,pixhawk_fused,0.8,0.2,gyro,-1.0,0.03876360133290291,0.5095110535621643,odom,
11570.706095104,navigating,0.011278992033731072,0.0007316120563737151,0.07981666744725313,1.821813446124776,-5.206116411397928,-2.359835191316747,-2.3165744601956733,-2.7921719551086426,0.12598940672959139,-0.12598940672959139,0.032906834998357226,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1110609620809555,0.645024299621582,odom,
11570.823556851,navigating,0.026280032055426922,0.0029711343575095917,0.08901027949351104,1.811804856684236,-5.2175126739116,-2.350641579270489,-2.2705387521775537,-2.7921719551086426,0.12598940672959139,-0.12598940672959139,0.15064455599895155,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1622854769229889,0.16929277777671814,odom,
11570.924530145,navigating,0.041928498166344086,0.005636515673453298,0.12671496607606247,1.8015768764011735,-5.229652161895579,-2.3129368926879375,-2.2786258354469475,-2.8405191898345947,0.17512353917444995,-0.17512353917444995,0.09851008400073624,pixhawk_fused,0.8,0.2,gyro,-1.0,0.18218176066875458,-0.23608800768852234,odom,
11571.04439829,navigating,0.059533264521452925,0.008140029960021396,0.14504627175259666,1.7897505662454771,-5.242931234540245,-2.2946055870114033,-2.330032744453559,-2.8680386543273926,0.21088608389581492,-0.21088608389581492,0.11246218100131955,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1574646532535553,-0.44108885526657104,odom,
11571.146491757,navigating,0.07196600049152774,0.009237006849353822,0.10209160674626627,1.7809653666879328,-5.25179670411221,-2.3375602520177337,-2.386887007439097,-2.8287553787231445,0.17140336724604419,-0.17140336724604419,0.09862478400100372,pixhawk_fused,0.8,0.2,gyro,-1.0,0.14728723466396332,-0.6453174352645874,odom,
11571.265649385,navigating,0.08811088707541748,0.009543574784055021,-0.008654960768859965,1.7688352366071884,-5.262455563850919,-2.44830681953286,-2.466675173973397,-2.715670347213745,0.05292164536799243,-0.05292164536799243,0.02888439100024698,pixhawk_fused,0.8,0.2,gyro,-1.0,0.16980932652950287,-0.6763586401939392,odom,
11571.383615214,navigating,0.11066492389413828,0.008196357996488907,-0.021629516924446257,1.7507432903517712,-5.2759900032772125,-2.461281375688446,-2.531601312497655,-2.715670347213745,0.05292164536799243,-0.05292164536799243,0.1470209920007619,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2564150094985962,-0.40444013476371765,odom,
11571.484370867,navigating,0.13422346780539945,0.0057104972918455565,-0.0816820494436068,1.7311490886969385,-5.289303596187147,-2.5213339082076067,-2.5607304212672184,-2.648714780807495,-0.01485055003081509,0.01485055003081509,0.06962539900086995,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2817387282848358,-0.2378195822238922,odom,
