local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,nearest_path_error_m
1.0211920998990536,9640.695206714,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05530651640555462,1.1823240763435081,-3.0547142860622216,0.5835619674535599,0.21642534712263392,0.8063419461250305,-0.03350438411064731,0.03350438411064731,0.044331267001325614,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0212661999976262,9640.814882253,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05530651640555462,1.1823240763435081,-3.0547142860622216,0.5835619674535599,0.21642534712263392,0.8063419461250305,-0.03350438411064731,0.03350438411064731,0.16485519300113083,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.021296999999322,9640.934404685,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.055459106857078444,1.1823240763435081,-3.0547142860622216,0.5834093770020361,0.21642534712263392,0.8064625859260559,-0.03369478999913024,0.03369478999913024,0.06216608199974871,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0213220999576151,9641.054161185,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.0554998031796452,1.1823240763435081,-3.0547142860622216,0.5833686806794693,0.21642534712263392,0.8064779043197632,-0.03374557193551498,0.03374557193551498,0.030469797000478138,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0213456999044865,9641.174725778,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05558540579215787,1.1823240763435081,-3.0547142860622216,0.5832830780669567,0.21642534712263392,0.8065265417098999,-0.03385238928810048,0.03385238928810048,0.04260440299913171,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0213688999647275,9641.294829902,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05565731177819977,1.1823240763435081,-3.0547142860622216,0.5832111720809148,0.21642534712263392,0.8065828084945679,-0.033942115784588334,0.033942115784588334,0.04835088999971049,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0213923999108374,9641.415044542,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05565731177819977,1.1823240763435081,-3.0547142860622216,0.5832111720809148,0.21642534712263392,0.8065828084945679,-0.033942115784588334,0.033942115784588334,0.1691723109997838,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.0214180999901146,9641.515164866,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05574070470642345,1.1823240763435081,-3.0547142860622216,0.5831277791526911,0.21642534712263392,0.8066370487213135,-0.034046176246333,0.034046176246333,0.07652961599887931,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.021440799930133,9641.633413462,odom,idle,,0.012039428482260247,-0.03563363420515112,-0.05582566833550251,1.1823240763435081,-3.0547142860622216,0.583042815523612,0.21642534712263392,0.8067006468772888,-0.034152196908335264,0.034152196908335264,0.08966980700097338,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.01669635289354899
1.8831658998969942,9641.735245356,odom,idle,,0.0,0.0,-6.27403326409759e-05,1.1823240763435081,-3.0547142860622216,0.5829800751909711,0.21642534712263392,0.8067549467086792,-0.03423062232412683,0.03423062232412683,0.013094822999846656,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
1.8832689999835566,9641.854164139,odom,idle,,0.0,0.0,-0.0001065443076571082,1.1823240763435081,-3.0547142860622216,0.5829362712159549,0.21642534712263392,0.8067841529846191,-0.03428537729285943,0.03428537729285943,0.01523802900010196,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0
