local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps
1.0837494999868795,7047.673515339,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6167185428672488,1.6061439297888616,-3.681826269163921,-1.4030043364489198,-1.550097327260959,-2.6667068004608154,-0.2165637610298581,0.2165637610298581,0.12394064499949309,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0838239999720827,7047.793454487,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6168332330644661,1.6061439297888616,-3.681826269163921,-1.403119026646137,-1.550097327260959,-2.6665871143341064,-0.2167070662048645,0.2167070662048645,0.05165814799966029,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.08385559997987,7047.893489904,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6168332330644661,1.6061439297888616,-3.681826269163921,-1.403119026646137,-1.550097327260959,-2.6665871143341064,-0.2167070662048645,0.2167070662048645,0.15204124499996396,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0838811000576243,7047.993844946,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.616867539276856,1.6061439297888616,-3.681826269163921,-1.4031533328585268,-1.550097327260959,-2.6665561199188232,-0.21674993171030651,0.21674993171030651,0.07451291400047921,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.08390500000678,7048.114256765,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6169053947624865,1.6061439297888616,-3.681826269163921,-1.4031911883441575,-1.550097327260959,-2.6665103435516357,-0.21679723200062287,0.21679723200062287,0.08799848500075313,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0839267000555992,7048.233519677,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.617044687385532,1.6061439297888616,-3.681826269163921,-1.403330480967203,-1.550097327260959,-2.666348457336426,-0.21697127743205052,0.21697127743205052,0.011185474999365397,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0839472999796271,7048.334287573,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.617044687385532,1.6061439297888616,-3.681826269163921,-1.403330480967203,-1.550097327260959,-2.666348457336426,-0.21697127743205052,0.21697127743205052,0.11153560499951709,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.083968700026162,7048.434419995,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6171290252482653,1.6061439297888616,-3.681826269163921,-1.4034148188299362,-1.550097327260959,-2.6662421226501465,-0.21707665702188383,0.21707665702188383,0.09622567800033721,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.0839901000726968,7048.553601693,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.61717207020813,1.6061439297888616,-3.681826269163921,-1.403457863789801,-1.550097327260959,-2.6661829948425293,-0.21713044136622917,0.21713044136622917,0.10874302299998817,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.084010299993679,7048.673685772,odom,timeout,,-0.02369355306200452,-0.4872636584197913,-1.6172279166094021,1.6061439297888616,-3.681826269163921,-1.403513710191073,-1.550097327260959,-2.6661317348480225,-0.21720022096997124,0.21720022096997124,0.028666045000136364,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.9237032000673935,7048.794072145,odom,timeout,,0.0,0.0,-2.705740928710121e-05,1.6061439297888616,-3.681826269163921,-1.4035407676003602,-1.550097327260959,-2.665980339050293,-0.21739034549565983,0.21739034549565983,0.04841958599990903,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.9237770000472665,7048.91283839,odom,timeout,,0.0,0.0,-2.705740928710121e-05,1.6061439297888616,-3.681826269163921,-1.4035407676003602,-1.550097327260959,-2.665980339050293,-0.21739034549565983,0.21739034549565983,0.1678592469997966,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
1.923804400023073,7049.033531833,odom,timeout,,0.0,0.0,-0.00020061959947548225,1.6061439297888616,-3.681826269163921,-1.4037143297905486,-1.550097327260959,-2.6657967567443848,-0.21760729823308064,0.21760729823308064,0.00308861700068519,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0
