t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps,event_type,event_message
,navigating,-0.0,0.0,0.0,,,,,,mission_status,going to waypoint 1/4
1671.17467948,navigating,-0.0,0.0,0.0,0.6763073205947876,-4.0152106285095215,-1.8829663923742812,0.0,0.0,odom,
1671.293715852,navigating,-0.0,0.0,0.0,0.6763073205947876,-4.0152106285095215,-1.8829663923742812,0.0,0.0,odom,
1671.394162133,navigating,-0.0,0.0,0.0,0.6763073205947876,-4.0152106285095215,-1.8829663923742812,0.0,0.0,odom,
1671.5149781,navigating,-0.0,0.0,0.0,0.6763073205947876,-4.0152106285095215,-1.8829663923742812,0.0,0.0,odom,
1671.6166306,navigating,-0.0,0.0,0.0,0.6763073205947876,-4.0152106285095215,-1.8829663923742812,0.0,0.0,odom,
1671.734219811,navigating,5.111950953260398e-05,-3.737666487634696e-08,0.0006742767635576907,0.6762915849685669,-4.015259265899658,-1.8822921156107235,0.0025646614376455545,0.0337100587785244,odom,
1671.834248185,navigating,0.00015428441724558693,1.2404288140278874e-07,0.002027568017466841,0.6762600541114807,-4.015357494354248,-1.8809388243568144,0.0,0.0,odom,
1671.954297723,navigating,0.0004118763306656903,1.5202602142073854e-06,0.008126301035835448,0.6761822700500488,-4.015603065490723,-1.8748400913384458,0.007754277437925339,0.10192267596721649,odom,
1672.074598245,navigating,0.003910417609534298,9.565037209995661e-05,0.054131040009685494,0.6751973628997803,-4.018961429595947,-1.8288353523645957,0.041178252547979355,0.5412493348121643,odom,
1672.194083924,navigating,0.009341682094919295,0.0005525890456516687,0.1257896611628837,0.6739641427993774,-4.024270534515381,-1.7571767312113975,0.04623764753341675,0.6077503561973572,odom,
1672.294280911,navigating,0.014325373645494481,0.0013173494567056548,0.19207477843409437,0.6731613278388977,-4.029248237609863,-1.6908916139401868,0.0513572171330452,0.6750422716140747,odom,
1672.414359467,navigating,0.020345542677978223,0.0027037700914682335,0.2746443661264353,0.6726318001747131,-4.035403251647949,-1.608322026247846,0.0542772151529789,0.7134228944778442,odom,
1672.514995515,navigating,0.025742451949530617,0.004398998249082468,0.3490129413011913,0.6725875735282898,-4.041059970855713,-1.53395345107309,0.056876130402088165,0.7475832104682922,odom,
