local_t,bridge_t,event_type,mission_state,mission_index,mission_total,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,cmd_linear_x_mps,cmd_angular_z_radps,cmd_age_s,nearest_segment,along_track_m,segment_progress_m,segment_ratio,nearest_path_x_m,nearest_path_y_m,nearest_path_yaw_rad,cross_track_error_m,signed_cross_track_error_m,heading_error_rad,distance_to_waypoint_m,turn_kind,turn_target_yaw_rad,turn_yaw_error_rad
1.0397077999077737,4364.507978878,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08041468735745605,-7.039227508531613,-5.876524626194937,-0.330817843796333,-0.9462591607251374,-2.8055858612060547,2.3951060644336897,-2.3951060644336897,0.11077183999987028,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.247558633999688,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4824452981299745,,,,
1.0398855999810621,4364.609352987,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08065276469551902,-7.039227508531613,-5.876524626194937,-0.33057976645827003,-0.9462591607251374,-2.805962085723877,2.3953932506949562,-2.3953932506949562,0.013852623000275344,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.348314298000332,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4822072207919115,,,,
1.040002099936828,4364.726054899,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08065276469551902,-7.039227508531613,-5.876524626194937,-0.33057976645827003,-0.9462591607251374,-2.805962085723877,2.3953932506949562,-2.3953932506949562,0.1320492889999514,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.466483500999857,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4822072207919115,,,,
1.0400982999708503,4364.847251979,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08077936033695915,-7.039227508531613,-5.876524626194937,-0.3304531708168299,-0.9462591607251374,-2.8061420917510986,2.3955459563727413,-2.3955459563727413,0.08462004900047759,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.587256056000115,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4820806251504715,,,,
1.040191899985075,4364.967911166,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08094321310276714,-7.039227508531613,-5.876524626194937,-0.3302893180510219,-0.9462591607251374,-2.806340456008911,2.3957436000392693,-2.3957436000392693,0.09209307600031025,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.707725156999913,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4819167723846633,,,,
1.0402827999787405,4365.068714513,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08121734047863055,-7.039227508531613,-5.876524626194937,-0.3300151906751585,-0.9462591607251374,-2.8066518306732178,2.396074251551872,-2.396074251551872,0.0031047080001371796,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.808657944000515,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4816426450088,,,,
1.0403729999670759,4365.1856524,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08142651064012713,-7.039227508531613,-5.876524626194937,-0.3298060205136619,-0.9462591607251374,-2.8068971633911133,2.396326544825446,-2.396326544825446,0.006512351000310446,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,27.926090687000396,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4814334748473035,,,,
1.0404661999782547,4365.287276149,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08142651064012713,-7.039227508531613,-5.876524626194937,-0.3298060205136619,-0.9462591607251374,-2.8068971633911133,2.396326544825446,-2.396326544825446,0.10755141299978277,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.027190136999707,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4814334748473035,,,,
1.0405519999330863,4365.387687526,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08153897757113893,-7.039227508531613,-5.876524626194937,-0.3296935535826501,-0.9462591607251374,-2.8070456981658936,2.396462195727501,-2.396462195727501,0.09183121400019445,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.12760601300033,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4813210079162915,,,,
1.0406359999906272,4365.508280178,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08166872346402054,-7.039227508531613,-5.876524626194937,-0.3295638076897685,-0.9462591607251374,-2.8071932792663574,2.396618685284389,-2.396618685284389,0.011214606000066851,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.2476294600001,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.48119126202341,,,,
2.2997735999524593,4365.649197696,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.0819984053055191,-7.039227508531613,-5.876524626194937,-0.32923412584826994,-0.9462591607251374,-2.807559013366699,2.3970163116694816,-2.3970163116694816,0.033971050000218384,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.387873810999736,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4808615801819114,,,,
2.3005239999620244,4365.787272053,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08212859328129896,-7.039227508531613,-5.876524626194937,-0.3291039378724901,-0.9462591607251374,-2.807729482650757,2.3971733260583057,-2.3971733260583057,0.006008180999742763,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.512386741000228,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4807313922061316,,,,
2.3006385999033228,4365.910526167,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08239715738438685,-7.039227508531613,-5.876524626194937,-0.3288353737694022,-0.9462591607251374,-2.808049440383911,2.397497222732978,-2.397497222732978,0.026447134000591177,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.651401422999697,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4804628281030436,,,,
2.3007303999038413,4366.021932822,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08239715738438685,-7.039227508531613,-5.876524626194937,-0.3288353737694022,-0.9462591607251374,-2.808049440383911,2.397497222732978,-2.397497222732978,0.13482385800034535,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.759822812000493,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4804628281030436,,,,
2.3008159999735653,4366.131108245,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08259048839775446,-7.039227508531613,-5.876524626194937,-0.3286420427560346,-0.9462591607251374,-2.8082714080810547,2.3977303797041456,-2.3977303797041456,0.0017747639994922793,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.87065779800014,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4802694970896761,,,,
2.3009107999969274,4366.231327127,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08282639241928785,-7.039227508531613,-5.876524626194937,-0.3284061387345012,-0.9462591607251374,-2.8085508346557617,2.398014872578664,-2.398014872578664,0.047516997000457195,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,28.971103765999942,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4800335930681427,,,,
2.300991299911402,4366.346959069,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08282639241928785,-7.039227508531613,-5.876524626194937,-0.3284061387345012,-0.9462591607251374,-2.8085508346557617,2.398014872578664,-2.398014872578664,0.16338204299972858,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.086966498000038,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4800335930681427,,,,
2.3010647000046447,4366.447088583,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08294898574377846,-7.039227508531613,-5.876524626194937,-0.3282835454100106,-0.9462591607251374,-2.8086891174316406,2.3981627132154464,-2.3981627132154464,0.08560115100044641,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.18702279199988,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4799109997436521,,,,
2.3011359999654815,4366.547620641,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.0833052200264473,-7.039227508531613,-5.876524626194937,-0.32792731112734175,-0.9462591607251374,-2.8091440200805664,2.39859229971654,-2.39859229971654,0.0026722940001491224,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.28754590599965,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4795547654609833,,,,
2.3012193999020383,4366.667652828,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08336588160824515,-7.039227508531613,-5.876524626194937,-0.3278666495455439,-0.9462591607251374,-2.8092126846313477,2.3986654503543323,-2.3986654503543323,0.07170984300046257,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.40760359199976,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4794941038791853,,,,
2.3012945000082254,4366.767717492,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08336588160824515,-7.039227508531613,-5.876524626194937,-0.3278666495455439,-0.9462591607251374,-2.8092126846313477,2.3986654503543323,-2.3986654503543323,0.1717383780005548,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.50763383100002,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4794941038791853,,,,
3.1780679000075907,4366.868892717,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08352297867723774,-7.039227508531613,-5.876524626194937,-0.3277095524765513,-0.9462591607251374,-2.809398651123047,2.3988548882967953,-2.3988548882967953,0.09325306200025807,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.608554397000262,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4793370068101928,,,,
3.1781942999223247,4366.984573361,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08378783455429156,-7.039227508531613,-5.876524626194937,-0.3274446965994975,-0.9462591607251374,-2.809737205505371,2.3991742610325963,-2.3991742610325963,0.10334044100000028,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.72526860400012,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.479072150933139,,,,
3.178285599919036,4367.08570755,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08406249411069516,-7.039227508531613,-5.876524626194937,-0.3271700370430939,-0.9462591607251374,-2.8101019859313965,2.399505444997914,-2.399505444997914,0.008589662000304088,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.8261020609998,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4787974913767354,,,,
3.178369899978861,4367.205553427,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08420812807250244,-7.039227508531613,-5.876524626194937,-0.3270244030812866,-0.9462591607251374,-2.8102691173553467,2.3996810458521285,-2.3996810458521285,0.01385749300061434,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,29.945374638999965,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.478651857414928,,,,
3.178451499901712,4367.308465528,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08420812807250244,-7.039227508531613,-5.876524626194937,-0.3270244030812866,-0.9462591607251374,-2.8102691173553467,2.3996810458521285,-2.3996810458521285,0.115983024000343,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,30.047530114000438,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.478651857414928,,,,
3.17854809993878,4367.427437005,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08437465024809593,-7.039227508531613,-5.876524626194937,-0.3268578809056931,-0.9462591607251374,-2.81048321723938,2.3998818294077573,-2.3998818294077573,0.052225768999960565,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,30.167423101000168,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4784853352393346,,,,
3.178623899933882,4367.528897184,odom,idle,,4,,-0.010234080732945586,-0.007199169816155046,0.08452528191883224,-7.039227508531613,-5.876524626194937,-0.3267072492349568,-0.9462591607251374,-2.8106586933135986,2.400063449684756,-2.400063449684756,0.030787529000008362,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,30.26864743599981,4,2.6023517620790297,0.49673570936524475,0.9855556862510476,-5.7777254995809366e-05,-0.007279934129471977,1.5628599854874305,0.010176623966209927,0.010176623966209929,1.4783347035685983,,,,
