t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,cmd_linear_x_mps,cmd_angular_z_radps,cmd_age_s,actual_left_mps,actual_right_mps,cmd_left_mps,cmd_right_mps,turn_abs_balance_error_mps,turn_linear_leak_ratio,event_type,event_message
,navigating,-0.001432781099421706,-1.1586827139183867e-05,0.008075586715807548,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,,,,,,,,,,mission_status,going to waypoint 1/4
7683.088445426,navigating,-0.001432781099421706,-1.1586827139183867e-05,0.008049440306999722,-6.11777174592382,-5.6927236364857885,-1.812327475841159,-1.8007846056878194,3.1042678356170654,0.10720522777575733,-0.10720522777575733,0.05609655500029476,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,0.0,0.0,408.47164906299986,0.0,0.0,0.0,0.0,,,odom,
7683.205581314,navigating,-0.001432781099421706,-1.1586827139183867e-05,0.008049440306999722,-6.11777174592382,-5.6927236364857885,-1.812327475841159,-1.8007846056878194,3.1042678356170654,0.10720522777575733,-0.10720522777575733,0.17254940400016494,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,0.24,0.016721110246751887,0.04870831199968961,0.0,0.0,0.2387278579324271,0.2412721420675729,,,odom,
7683.308778181,navigating,-0.0013825205796969562,-1.0578805997416615e-05,0.008144033960068908,-6.117783183361108,-5.692772588717381,-1.8122328821880898,-1.800082708338343,3.1043431758880615,0.10714800549464035,-0.10714800549464035,0.027448888999970222,pixhawk_fused,0.8,0.2,gyro,-1.0,0.002497320994734764,0.032824933528900146,0.24,0.01694084521118748,0.004030539000268618,5.1856041162479105e-11,0.004994641937613487,0.23871114049633285,0.24128885950366713,,,odom,
7683.421958707,navigating,4.897410813734177e-05,1.531602046355265e-05,0.009270238566288613,-6.118111666560017,-5.6941661260765395,-1.81110667758187,-1.7953524774572085,3.1034328937530518,0.10737328620420503,-0.10737328620420503,0.08935102600025857,pixhawk_fused,0.8,0.2,gyro,-1.0,0.02319641411304474,0.3048950135707855,0.24,0.017197885571099934,0.014038737999726436,1.4805793778494003e-09,0.046392826745510096,0.2386915848657507,0.24130841513424928,0.046392825264930715,1.0000000638279463,odom,
7683.522896076,navigating,0.004875193202953234,0.0002592253902507424,0.0231463401298051,-6.1190673788197945,-5.698903055103699,-1.7972305760183536,-1.7358738053486986,3.099153518676758,0.10985761457847165,-0.10985761457847165,0.013004706000174338,pixhawk_fused,0.8,0.2,gyro,-1.0,0.06631799042224884,0.6624825596809387,0.24,-0.010395608988407268,0.01997344799929124,0.015916317281723026,0.11671966356277466,0.24079089793183803,0.23920910206816196,0.10080334628105164,1.315789462729669,odom,
7683.625742598,navigating,0.014101628846070611,0.0013069882380655515,0.12399940182645142,-6.1203309868913625,-5.708102414663109,-1.6963775143217072,-1.6735874610361057,2.985703706741333,0.2203437958078246,-0.2203437958078246,0.013317805000042426,pixhawk_fused,0.8,0.2,gyro,-1.0,0.12111062556505203,0.5758229494094849,0.24,-0.12422350265099989,0.022639482999693428,0.07730201557397842,0.16491923555612564,0.24945092408168806,0.23054907591831192,0.08761721998214722,2.764539335754533,odom,
7683.745884852,navigating,0.029522052552283014,0.00393404111848302,0.1308866606741843,-6.121594137465439,-5.723693929173985,-1.6894902554739744,-1.639133064560602,2.985703706741333,0.2203437958078246,-0.2203437958078246,0.1332576409995454,pixhawk_fused,0.8,0.2,gyro,-1.0,0.14642654359340668,-0.033765606582164764,0.24,-0.6169486553251654,0.03400951599996915,0.14899543094217776,0.1438576562446356,0.2869374536971386,0.1930625463028614,,,odom,
7683.845941535,navigating,0.045269161947731645,0.006726042378852634,0.16343054398213885,-6.122778140973483,-5.739642749225734,-1.6569463721660198,-1.6608310949947,2.942182779312134,0.2664431673304896,-0.2664431673304896,0.02820793400042021,pixhawk_fused,0.8,0.2,gyro,-1.0,0.14714647829532623,-0.37324777245521545,0.20895077673955564,-0.6666666666666666,0.03962179500013008,0.175543168823719,0.11874978776693344,0.25967077673955563,0.15823077673955566,0.056793381056785566,5.181817865296661,odom,
7683.946074117,navigating,0.061043432641860434,0.009041037989888503,0.1266919162932938,-6.124431079410331,-5.75550006977918,-1.6936849998548649,-1.7015414698828029,2.9844553470611572,0.23069745978878542,-0.23069745978878542,0.025868441999591596,pixhawk_fused,0.8,0.2,gyro,-1.0,0.15484891831874847,-0.5252499580383301,0.15201012119984622,-0.6666666666666667,0.040728781999860075,0.19480993512630462,0.11488790151119233,0.20273012119984624,0.10129012119984622,0.0799220336151123,3.8749994542047888,odom,
7684.066394742,navigating,0.07710549238237026,0.010569648588333893,0.11383219552473989,-6.126917120779231,-5.771442027368558,-1.7065447206234188,-1.765872623934585,2.9844553470611572,0.23069745978878542,-0.23069745978878542,0.1463811120001992,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1319437026977539,-0.6871305108070374,0.1669906753418251,-0.6666666666666666,0.011893855000380427,0.1842205919599533,0.07966681343555451,0.2177106753418251,0.11627067534182511,0.10455377852439879,2.523939441690543,odom,
7684.18661139,navigating,0.09294076443551119,0.011009801492185169,0.06351624031460612,-6.13040187917211,-5.786895377636995,-1.7568606758335525,-1.8332553345783589,3.030407428741455,0.1846389361338477,-0.1846389361338477,0.0884784830004719,pixhawk_fused,0.8,0.2,gyro,-1.0,0.14063763618469238,-0.6626874804496765,0.21096983145800205,-0.6666666666666667,0.03173079299995152,0.19105489969730377,0.090220372672081,0.26168983145800206,0.16024983145800203,0.10083452702522278,2.789473810880538,odom,
7684.2892686,navigating,0.11006922522520728,0.010377368419389302,-0.0598570075867233,-6.1352454051147935,-5.803336922487108,-1.880233923734882,-1.8897128416952038,-3.112419843673706,0.04455413356588886,-0.04455413356588886,0.007202332999440841,pixhawk_fused,0.8,0.2,gyro,-1.0,0.19055303931236267,-0.5734043121337891,0.24,-0.4701849133972842,0.03298778200041852,0.23417763937950134,0.146928439245224,0.27577166821126536,0.20422833178873462,0.08724920013427734,4.3680180223795695,odom,
7684.408624406,navigating,0.13468531905845516,0.008175346474246687,-0.08512586698633573,-6.143459315077477,-5.8266464196798635,-1.9055027831344944,-1.9320407703477187,-3.092733144760132,0.023549344690309025,-0.023549344690309025,0.07281188299930363,pixhawk_fused,0.8,0.2,gyro,-1.0,0.22716820240020752,-0.2036595344543457,0.24,0.11350857298731491,0.0039635319999433705,0.24266261978149414,0.2116737850189209,0.23136426776712507,0.2486357322328749,0.030988834762573247,14.66129360078875,odom,
7684.5087373,navigating,0.1569135407389769,0.005611589136023928,-0.08526621042812987,-6.151433953852098,-5.847552682549684,-1.9056431265762885,-1.932742676887803,-3.092733144760132,0.023549344690309025,-0.023549344690309025,0.17297287600013078,pixhawk_fused,0.8,0.2,gyro,-1.0,0.23803113400936127,0.06809372454881668,0.24,0.24514462938377674,0.004239847999997437,0.2328505634456873,0.24321170457303523,0.22134939659648226,0.2586506034035177,,,odom,
7684.623353485,navigating,0.18291903692447778,0.002985655898162916,-0.09397154679905895,-6.160401819680801,-5.872103827934414,-1.9143484629472176,-1.9016758047290347,-3.079106092453003,0.00490181307660148,-0.00490181307660148,0.005819066999720235,pixhawk_fused,0.8,0.2,gyro,-1.0,0.23080801963806152,0.3370838463306427,0.24,0.4285392055148572,0.019536396999683348,0.20516268060922624,0.25645335866689684,0.20739673724442967,0.27260326275557034,0.0512906780576706,8.999998766970634,odom,
7684.742169533,navigating,0.21071857524996682,0.0013174687507331306,-0.08397237657152501,-6.1688847381684955,-5.898629989990021,-1.9043492927196837,-1.8516574143006124,-3.079106092453003,0.00490181307660148,-0.00490181307660148,0.12478404300054535,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2427234947681427,0.27152103185653687,0.24,0.3997836912697316,0.04034922899973026,0.22206617466449738,0.26338081487178805,0.2095844567681988,0.27041554323180117,0.04131464020729067,11.74999920368713,odom,
7684.843498197,navigating,0.23525006762013,0.001031014412390431,-0.008377943202532157,-6.175221535923488,-5.922330647538023,-1.8287548593506908,-1.8063387988592838,3.1232240200042725,0.08805992658601806,-0.08805992658601806,0.029504516000088188,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2516503632068634,0.4725296199321747,0.24,0.37349016394689993,0.04044696499931888,0.21570030972242354,0.28760041669130326,0.21158486832691986,0.2684151316730801,0.07190010696887972,6.99999968889572,odom,
7684.944959824,navigating,0.2595868785564296,0.0017454165903671298,0.029637661198703702,-6.180540401759856,-5.946089864764939,-1.790739254949455,-1.7730747597854455,3.0846571922302246,0.1272631976472001,-0.1272631976472001,0.013518067000404699,pixhawk_fused,0.8,0.2,gyro,-1.0,0.24990016222000122,0.15268437564373016,0.24,0.11720789865743675,0.04192813400004525,0.23828393492102623,0.2615163895189762,0.23108282307014222,0.24891717692985776,0.02323245459794998,21.513022755852262,odom,
7685.045889359,navigating,0.2827311661625244,0.002996706311343522,0.03234098568555077,-6.185044464563834,-5.968826117600824,-1.788035930462608,-1.759555389001295,3.0846571922302246,0.1272631976472001,-0.1272631976472001,0.11461516200051847,pixhawk_fused,0.8,0.2,gyro,-1.0,0.23612239956855774,0.09800861775875092,0.24,-0.03989085050158711,0.03570258199943055,0.22866590392947198,0.2435788952076435,0.24303489590616073,0.23696510409383925,,,odom,
7685.145910859,navigating,0.3035988317936696,0.00428145951552715,0.04597624427208613,-6.188953780628841,-5.989364552487466,-1.7744006718760725,-1.7602268370922598,3.0699405670166016,0.14447434173689888,-0.14447434173689888,0.029366976999881444,pixhawk_fused,0.8,0.2,gyro,-1.0,0.22689461708068848,7.464726513717324e-05,0.24,-0.09569244621166204,0.040669107000212534,0.22688893791675685,0.2269002962446201,0.24728028130778323,0.23271971869221675,,,odom,
7685.247741445,navigating,0.3242889680334267,0.005444004823969756,0.04557968710996896,-6.192937668784965,-6.009700773482857,-1.7747972290381897,-1.771121547521732,3.0679919719696045,0.14670221360193297,-0.14670221360193297,0.012808506000510533,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2219828963279724,-0.1357826590538025,0.24,-0.17348760251271836,0.04262467599983211,0.2323132410287857,0.21165255162715912,0.2531989367991676,0.22680106320083238,0.020660689401626575,21.488430711367844,odom,
7685.366109204,navigating,0.35072657829668,0.00647576857911307,0.022731108683365253,-6.198467898462414,-6.03557408661807,-1.7976458074647934,-1.795474659392847,3.0868399143218994,0.12422976699636981,-0.12422976699636981,0.06822268399992026,pixhawk_fused,0.8,0.2,gyro,-1.0,0.23919937014579773,-0.16911327838897705,0.24,-0.14068279465275993,0.011015923000741168,0.25206550836563113,0.22633323192596436,0.250703147017182,0.22929685298281802,0.025732276439666774,18.591388189586507,odom,
7685.486554548,navigating,0.37780691455512944,0.006943814271934093,0.013775134316932558,-6.20470313177429,-6.0619309746018155,-1.806601781831226,-1.812350750581136,3.094940185546875,0.11725381401346728,-0.11725381401346728,0.0711635200004821,pixhawk_fused,0.8,0.2,gyro,-1.0,0.24091005325317383,-0.13474614918231964,0.24,-0.10538095603304859,0.030867835000208288,0.2511615402829647,0.23065856622338296,0.24801738313499433,0.23198261686500565,0.020502974059581763,23.500010540235564,odom,
7685.608618729,navigating,0.40576750290988606,0.00704985177966716,-0.013702959016061333,-6.211506576970629,-6.0890514258989015,-1.83407987516422,-1.8218418567173336,3.1258015632629395,0.08527905289994284,-0.08527905289994284,0.08855188500001532,pixhawk_fused,0.8,0.2,gyro,-1.0,0.24263827502727509,-0.06785641610622406,0.24,-0.08912361798939265,0.05259511900021607,0.2478007911646366,0.23747575888991357,0.246780524856633,0.233219475143367,,,odom,
