local_t,bridge_t,event_type,mission_state,event_message,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,use_pixhawk_yaw,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,nearest_path_error_m
1.031922800000757,10023.242873743,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.04369372573382829,1.2441316755172525,-3.2185466332150714,0.3330914998998927,0.15918447862947135,0.782060444355011,4.921436311519607e-05,-4.921436311519607e-05,0.05307234900101321,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.032061000005342,10023.363255453,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.04375178942831148,1.2441316755172525,-3.2185466332150714,0.3330334362054095,0.15918447862947135,0.7820966839790344,-2.3160856200094387e-05,2.3160856200094387e-05,0.04522240099868213,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0321112000383437,10023.482481258,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.04384261231627268,1.2441316755172525,-3.2185466332150714,0.3329426133174483,0.15918447862947135,0.7821573615074158,-0.0001363700209014966,0.0001363700209014966,0.09667303900096158,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.032152200001292,10023.603171351,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.0438670044877178,1.2441316755172525,-3.2185466332150714,0.33291822114600317,0.15918447862947135,0.7821611166000366,-0.0001667744992130353,0.0001667744992130353,0.11487153399866656,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0321890000486746,10023.721229827,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.04394406683330826,1.2441316755172525,-3.2185466332150714,0.3328411588004127,0.15918447862947135,0.7821956872940063,-0.0002628317233004524,0.0002628317233004524,0.11563252000087232,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0322238000808284,10023.822291488,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.04398805894845115,1.2441316755172525,-3.2185466332150714,0.3327971666852698,0.15918447862947135,0.7822061777114868,-0.00031766743770026703,0.00031766743770026703,0.03484129800017399,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0322587001137435,10023.923415426,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.044107779869003105,1.2441316755172525,-3.2185466332150714,0.33267744576471786,0.15918447862947135,0.782285213470459,-0.0004668987179004504,0.0004668987179004504,0.015134571000089636,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0323006000835449,10024.041391829,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.044107779869003105,1.2441316755172525,-3.2185466332150714,0.33267744576471786,0.15918447862947135,0.782285213470459,-0.0004668987179004504,0.0004668987179004504,0.13334582099923864,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0323363000061363,10024.142477675,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.044159602524039276,1.2441316755172525,-3.2185466332150714,0.3326256231096817,0.15918447862947135,0.7823091149330139,-0.0005314954705365851,0.0005314954705365851,0.05700383099974715,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
1.0323710000375286,10024.262771703,odom,idle,,0.003457222728005034,-0.04086304856807948,-0.0442689693819151,1.2441316755172525,-3.2185466332150714,0.33251625625180586,0.15918447862947135,0.7823845148086548,-0.0006678212210365487,0.0006678212210365487,0.06446095299907029,pixhawk_fused,True,0.8,0.2,gyro,-1.0,0.0,0.0,0.025828626970548902
