t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,event_type,event_message
5407.038971661,done,-0.0,0.0,-0.0023722539444954727,-6.043767866691127,-6.380260931681297,-3.138880607890269,-3.1365083539457737,-3.0828187465667725,-0.2292702392104438,0.2292702392104438,0.09180340000057186,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
,navigating,-0.0,0.0,-0.0023722539444954727,,,,,,,,,True,0.8,0.2,gyro,-1.0,,,mission_status,going to waypoint 1/3
5407.142255354,navigating,-0.0,0.0,-0.0025723874713867723,-6.043767866691127,-6.380260931681297,-3.1390807414171604,-3.1365083539457737,-3.082706928253174,-0.22952040597562515,0.22952040597562515,0.07531762500002515,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
5407.25928807,navigating,-0.0,0.0,-0.0026795106473653796,-6.043767866691127,-6.380260931681297,-3.139187864593139,-3.1365083539457737,-3.082646369934082,-0.22965430985902271,0.22965430985902271,0.08970451800087176,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0,0.0,odom,
5407.378315875,navigating,0.0008390767714029909,3.0538999855138643e-06,-0.0007861053130349127,-6.044606917090567,-6.380268251641161,-3.1372944592588086,-3.1263765163797577,-3.082552909851074,-0.22982046249694027,0.22982046249694027,0.03059599199968943,pixhawk_fused,0.8,0.2,gyro,-1.0,0.015354931354522705,0.13453681766986847,odom,
5407.479403318,navigating,0.002565406492595998,3.636696000505366e-05,0.012394012588660797,-6.046333055126058,-6.380310341410381,-3.124114341357113,-3.1026948773041156,-3.090757369995117,-0.21926539185828364,0.21926539185828364,0.044872369999211514,pixhawk_fused,0.8,0.2,gyro,-1.0,0.02816775068640709,0.3702385723590851,odom,
5407.581335495,navigating,0.007659886798874971,0.0003416973374515403,0.028522882380820125,-6.051425917201618,-6.380641569594238,-3.1079854715649535,-3.0434907727401805,-3.0978493690490723,-0.21389523628539242,0.21389523628539242,0.0929534410006454,pixhawk_fused,0.8,0.2,gyro,-1.0,0.07185087352991104,0.6296079754829407,odom,
5407.694319867,navigating,0.01828277092388741,0.0016235968879796468,0.07598331241095746,-6.062042146492254,-6.381977462269466,-3.060525041534816,-2.9891084501434046,3.1353888511657715,-0.16816153088397182,0.16816153088397182,0.043028219000007084,pixhawk_fused,0.8,0.2,gyro,-1.0,0.10857078433036804,0.40773165225982666,odom,
5407.796140603,navigating,0.0317965858755205,0.0037088140409897766,0.1442933253995924,-6.075545184954358,-6.3841313604595245,-2.9922150285461813,-2.9844087482766053,3.058863878250122,-0.083963148387138,0.083963148387138,0.03508337799939909,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1550154685974121,-0.06791776418685913,odom,
5407.915184408,navigating,0.0508925328958487,0.006450074810874726,0.13875144023167563,-6.094626947828011,-6.386969674896892,-2.997756913714098,-3.012118711298569,3.058863878250122,-0.083963148387138,0.083963148387138,0.15459737299988774,pixhawk_fused,0.8,0.2,gyro,-1.0,0.15103648602962494,-0.3701281249523163,odom,
5408.017390874,navigating,0.06390016625213488,0.00786945309061474,0.0984236852096525,-6.107627196546938,-6.388455169251846,-3.038084668736121,-3.0574373132496313,3.0980615615844727,-0.12304335908776914,0.12304335908776914,0.06220774999928835,pixhawk_fused,0.8,0.2,gyro,-1.0,0.134117990732193,-0.5142098665237427,odom,
